City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,llanes,43.4198,-4.7549,66.06,78,19,4.43,ES,1659244942
84,namibe,-15.1961,12.1522,58.41,89,12,4.94,AO,1659244593
85,sao filipe,14.8961,-24.4956,77.27,79,98,7.4,CV,1659244607
86,pimentel,-6.8367,-79.9342,62.26,84,85,10.13,PE,1659244891
87,ribeira grande,38.5167,-28.7,73.33,73,23,3.18,PT,1659244524
88,vaxjo,56.8777,14.8091,55.58,100,100,2.3,SE,1659244944
89,nikolskoye,59.7035,30.7861,63.88,72,10,5.75,RU,1659244511
90,chokurdakh,70.6333,147.9167,72.03,37,9,6.24,RU,1659244551
91,herat,34.5,62.0,82.63,31,0,27.78,AF,1659244580
92,souillac,-20.5167,57.5167,71.98,78,75,13.8,MU,1659244482
93,shache,38.4167,77.2406,86.47,24,100,15.73,CN,1659244853
94,shingu,33.7333,135.9833,88.3,62,45,9.04,JP,1659244822
95,klaksvik,62.2266,-6.589,50.92,79,6,19.19,FO,1659244597
96,bredasdorp,-34.5322,20.0403,47.14,82,32,4.21,ZA,1659244476
97,georgetown,5.4112,100.3354,89.53,76,20,8.05,MY,1659244501
98,ulaangom,49.9811,92.0667,73.87,44,100,5.39,MN,1659244947
99,luderitz,-26.6481,15.1594,50.85,69,0,17.47,NA,1659244618
100,muros,42.7762,-9.0603,68.09,72,1,12.71,ES,1659244510
101,karratha,-20.7377,116.8463,80.85,29,4,13.53,AU,1659244588
102,cap malheureux,-19.9842,57.6142,71.47,71,99,8.99,MU,1659244605
103,lubumbashi,-11.6609,27.4794,55.31,54,0,3.4,CD,1659244950
104,provideniya,64.3833,-173.3,50.88,75,99,6.11,RU,1659244474
105,norman wells,65.282,-126.8329,60.84,55,75,5.75,CA,1659244544
106,ayan,56.45,138.1667,59.29,90,76,11.77,RU,1659244951
107,saskylakh,71.9167,114.0833,51.89,93,100,11.01,RU,1659244474
108,puerto ayora,-0.7393,-90.3518,69.55,92,56,5.99,EC,1659244486
109,honningsvag,70.9821,25.9704,51.55,87,100,8.05,NO,1659244952
110,hithadhoo,-0.6,73.0833,80.1,76,100,16.96,MV,1659244559
111,chuy,-33.6971,-53.4616,47.95,80,50,4.05,UY,1659244486
112,hasaki,35.7333,140.8333,95.4,72,2,9.51,JP,1659244477
113,korla,41.7597,86.1469,89.15,21,82,10.4,CN,1659244621
114,esna,25.2934,32.554,88.14,16,6,9.78,EG,1659244953
115,sortavala,61.7053,30.6918,54.52,87,100,7.76,RU,1659244953
116,jamestown,42.097,-79.2353,62.71,74,0,1.01,US,1659244472
117,sivas,39.7916,37.0019,61.43,72,0,8.05,TR,1659244954
118,castro,-24.7911,-50.0119,44.08,85,7,3.24,BR,1659244479
119,kodiak,57.79,-152.4072,62.11,72,100,6.91,US,1659244501
120,bambanglipuro,-7.95,110.2833,82.18,70,92,11.59,ID,1659244582
121,lebu,-37.6167,-73.65,46.58,88,67,3.65,CL,1659244622
122,vega de alatorre,20.0333,-96.6333,77.72,81,61,4.34,MX,1659244955
123,fortuna,40.5982,-124.1573,60.93,90,100,4.61,US,1659244469
124,asau,46.4333,26.4,65.32,96,100,2.46,RO,1659244557
125,fare,-16.7,-151.0167,78.69,72,0,24.9,PF,1659244956
126,tuktoyaktuk,69.4541,-133.0374,46.4,71,20,6.91,CA,1659244493
127,keetmanshoop,-26.5833,18.1333,40.71,76,43,2.66,NA,1659244665
128,monte alegre,-2.0078,-54.0692,72.77,97,96,1.52,BR,1659244957
129,butaritari,3.0707,172.7902,81.63,70,89,17.11,KI,1659244957
130,magdagachi,53.45,125.8,84.38,45,100,10.94,RU,1659244957
131,kamenka,51.3223,42.7678,72.28,57,41,12.28,RU,1659244958
132,mar del plata,-38.0023,-57.5575,49.87,94,0,5.99,AR,1659244526
133,tolaga bay,-38.3667,178.3,48.04,82,49,13.18,NZ,1659244541
134,bluff,-46.6,168.3333,48.79,74,67,13.35,NZ,1659244499
135,majalgaon,19.15,76.2333,83.98,66,60,5.99,IN,1659244959
136,westport,41.1415,-73.3579,72.75,80,0,1.99,US,1659244539
137,saldanha,-33.0117,17.9442,39.25,77,7,10.47,ZA,1659244505
138,east london,-33.0153,27.9116,55.78,63,6,16.82,ZA,1659244453
139,erdenet,49.0333,104.0833,74.62,41,3,8.28,MN,1659244962
140,nanakuli,21.3906,-158.1547,82.35,61,20,6.91,US,1659244962
141,san cristobal,7.7669,-72.225,73.58,99,50,3.29,VE,1659244518
142,sakakah,29.9697,40.2064,85.57,10,64,3.42,SA,1659244599
143,ambovombe,-25.1667,46.0833,69.03,68,8,5.68,MG,1659244963
144,halifax,44.6453,-63.5724,64.29,94,17,5.75,CA,1659244486
145,dubti,11.7361,41.0853,82.72,59,91,10.6,ET,1659244841
146,acapulco,16.8634,-99.8901,82.22,78,75,3.44,MX,1659244964
147,torbay,47.6666,-52.7314,64.38,85,100,16.11,CA,1659244605
148,ternate,0.8,127.4,84.67,66,83,6.26,ID,1659244919
149,hamilton,39.1834,-84.5333,69.24,87,0,4.61,US,1659244603
150,caconda,-13.7333,15.0667,50.88,83,0,3.53,AO,1659244612
151,dingle,10.9995,122.6711,86.67,72,97,8.55,PH,1659244644
152,albertville,34.2676,-86.2089,74.07,92,0,3.44,US,1659244965
153,chudniv,50.052,28.1175,64.76,64,100,10.0,UA,1659244966
154,folsom,38.678,-121.1761,87.31,59,75,12.66,US,1659244860
155,oranjemund,-28.55,16.4333,49.32,75,6,10.22,NA,1659244966
156,beira,-19.8436,34.8389,60.89,100,40,6.91,MZ,1659244717
157,port elizabeth,-33.918,25.5701,51.31,84,40,17.27,ZA,1659244513
158,chernyshevskiy,63.0128,112.4714,75.22,53,40,3.91,RU,1659244629
159,coahuayana,18.7333,-103.6833,78.17,85,99,2.1,MX,1659244968
160,caravelas,-17.7125,-39.2481,70.83,93,36,6.33,BR,1659244473
161,nishihara,26.1842,127.7558,84.25,89,100,13.8,JP,1659244968
162,sao joao da barra,-21.6403,-41.0511,61.9,78,0,8.66,BR,1659244479
